"STUDYID","avg_liverToBW_zscore","avg_WBC","avg_PLAT","avg_EOS","avg_UREAN","avg_PT","avg_APTT","avg_FIBRINO","avg_RETI","avg_PHOS","avg_CREAT","avg_CA","avg_ALB","avg_BASO","avg_CHOL","avg_RBC","avg_K","avg_SODIUM","avg_CL","avg_HGB","avg_HCT","avg_MCV","avg_MCH","avg_MCHC","avg_RDW","avg_GLUC","avg_AST","avg_ALT","avg_ALP","avg_CK","avg_TRIG","avg_PROT","avg_ALBGLOB","avg_GLOBUL","avg_LGUNSCE","avg_LYM","avg_NEUT","avg_MONO","avg_BILI","avg_PH","avg_SPGRAV","avg_VOLUME","avg_GGT","avg_MPV","avg_NEUTLE","avg_LYMLE","avg_MONOLE","avg_EOSLE","avg_BASOLE","avg_TT","avg_RETIRBC","avg_RDWRCV","avg_RDWSD","avg_UREA","avg_OCCBLD","avg_HDL","avg_LDL","avg_LGLUCLE","avg_PDW","avg_LDH","avg_AMYLASE","avg_NAG","avg_BILEAC","avg_HDW","avg_PLATHCT","avg_URIVOL","avg_VITC","avg_KETONES","avg_KIM1","avg_BILDIR","avg_RETICE","avg_RBCNUCLE","avg_BACT","avg_EPIC","avg_CD3+CD4+","avg_CD3+CD8+","avg_CD3+CD4+/CD3+CD8+ ratio","avg_CD3+","avg_PRLYMLE","avg_BLSTLY","avg_CASTS","avg_UROBIL","INFILTRATE","TENSION LIPIDOSIS","UNREMARKABLE","NECROSIS","FIBROSIS","HYPERPLASIA","HYPERTROPHY","SINGLE CELL NECROSIS","GRANULOMA","FATTY CHANGE","FIBROPLASIA","AGGREGATE","EXTRAMEDULLARY HEMATOPOIESIS","DEGENERATION/NECROSIS","INFLAMMATION","VACUOLATION","FIBROSIS, CAPSULE","INFILTRATE, LYMPHOCYTES/MACROPHAGES","FOCUS OF CELLULAR ALTERATION","PIGMENT","DEGENERATION","NECROSIS/INFILTRATE"
"47827 TSR",0,1,1,0,NA,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,NA,1,0,0,NA,0,1,1,0,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8004042",2,0,1,1,1,1,1,0,3,1,1,0,0,NA,1,2,1,1,0,1,1,3,3,1,3,1,0,0,1,NA,3,0,0,0,0,0,0,1,3,0,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588235294117647,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882352941176471,0.235294117647059,0,NA,NA,NA,NA,NA,NA,NA
"809-0064-TX",0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,1,0,1,0,1,1,1,0,0,1,1,0,1,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0344827586206897,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0344827586206897,NA,NA,NA,NA,NA,NA
"8361160",1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0555555555555556,NA,NA,NA,NA
"8477790",1,1,0,0,NA,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,0.0416666666666667,NA,NA
"923-0012-TX",1,1,1,2,NA,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,3,1,0,1,0,0,0,0,0,0,NA,1,1,1,3,0,1,1,2,0,1,1,0,1,1,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"DT-22123-713",1,1,2,1,NA,0,1,0,2,NA,0,NA,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,0,1,1,1,1,0,1,1,2,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F66-0058-TX",3,1,1,1,NA,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,0,0,1,0,NA,0,0,1,1,NA,1,1,1,0,1,0,0,3,0,1,1,0,1,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22-S229-RD",0,1,0,0,NA,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,NA,0,2,3,1,0,0,0,0,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,1,1,1,0,0,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SH125-1819NG1",0,1,1,NA,3,1,0,3,2,2,2,3,2,NA,1,1,0,3,1,2,2,0,0,2,NA,0,3,3,1,3,0,2,1,0,NA,NA,NA,NA,1,2,3,NA,NA,1,3,3,3,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T2109511",1,1,1,1,NA,0,0,NA,1,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,NA,1,0,2,1,0,0,1,0,1,NA,0,0,0,1,NA,1,NA,0,NA,1,0,0,0,0,NA,0,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,1.65,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.1
"ZYT-774",0,0,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,1,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,NA,NA,NA,NA,NA,NA
"19224-22024",NA,0,3,1,NA,2,3,NA,3,1,2,1,1,1,0,2,3,0,2,3,2,0,2,3,NA,3,3,3,3,3,1,0,2,0,NA,2,3,1,2,NA,NA,NA,NA,NA,3,3,3,0,2,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H22051ND01",NA,1,0,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,NA,1,1,1,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SW-A2021024-E011-01",NA,1,1,1,NA,0,0,NA,1,NA,1,NA,0,NA,1,1,3,0,1,0,0,0,1,1,NA,0,0,0,0,2,0,0,0,0,NA,NA,1,0,0,NA,NA,NA,0,NA,3,NA,2,0,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
